FWinery,Wine,vintage,Rating,num_review,region,price
Les Hauts de Palette,Chateau du Barail Bordeaux 2023,2023,3.3,390,bordeaux,3.6
Château de Lavagnac,Bordeaux 2015,2015,3.6,76,bordeaux,4.1
Château de Callac,Graves Rouge 2011,2011,3.6,221,graves,4.5
Château Lacoste Garzac,Bordeaux 2022,2022,3.4,2084,bordeaux,4.67
Château La Fleur Saint-Jean,Bordeaux 2009,2009,3.6,171,bordeaux,4.95
Vinovalie,Les Blousons Noirs Malbec 2021,2021,3.6,564,cahors,5.0
Lafleur Chevalier,Bordeaux 2020,2020,3.3,91,bordeaux,5.0
Château Roquefort,Bordeaux Rouge 2008,2008,3.7,2937,bordeaux,5.0
Les Vignerons des Albères,Malicieuse Syrah 2022,2022,3.4,50,cotes-catalanes,5.05
Tarani,Millesimé Rouge 2023,2023,3.8,202,comte-tolosan,5.09
Château Mayne-Vallet,Blaye - Côtes de Bordeaux 2017,2017,3.8,74,blaye-cotes-de-bordeaux,5.1
Château Reindent,Bordeaux Supérieur 2016,2016,3.7,78,bordeaux-superieur,5.27
Marquille,Bordeaux Rouge 2014,2014,2.7,109,bordeaux,5.4
Château Mayne-Vallet,Blaye - Côtes de Bordeaux 2021,2021,3.5,1481,blaye-cotes-de-bordeaux,5.4
Arnaud de Villeneuve,To Bi or Not To Bi Merlot - Grenache 2022,2022,3.3,83,languedoc,5.4
Piaugier,Les Ramières 2022,2022,3.5,102,vaucluse,5.5
Pierrick Harang,Le Petit Balthazar Merlot 2021,2021,3.0,39,vin-de-pays-doc,5.75
Les Vignerons de Buzet,Roches d'Hillac 2018,2018,3.3,726,buzet,5.86
Vinovalie,Sans Culotte ni Sulfites Rouge 2022,2022,3.3,314,cahors,5.9
Château Montesquieu des Albères,Côtes du Roussillon Rouge 2023,2023,3.6,37,cotes-du-roussillon,5.9
Demon Noir,Rouge 2022,2022,3.8,80,cotes-du-lot,5.9
Château de Callac,Graves Rouge 2014,2014,3.7,113,graves,5.94
Dominique Raimond,Château Montfollet Intense Blaye - Côtes de Bordeaux 2020,2020,3.8,118,blaye-cotes-de-bordeaux,5.95
Marrenon,Les Grains Pinot Noir Cuvée Rare 2017,2017,3.4,131,vin-de-pays-de-mediterranee,5.99
Lavau,Koudiat Côtes-du-Rhône 2022,2022,3.7,470,cotes-du-rhone,6.0
Vignerons de Tautavel Vingrau,Le Cirque Rouge 2021,2021,3.6,43,cotes-catalanes,6.0
Château Mayne-Vallet,Blaye - Côtes de Bordeaux 2015,2015,3.7,225,blaye-cotes-de-bordeaux,6.0
Abbe Rous,Malis Rouge 2022,2022,3.5,142,cotes-du-roussillon,6.05
Raoul Mapoul,Rouge 2022,2022,3.7,125,vin-de-pays-doc,6.1
Le Chai des Vignerons,La Cuvée de Léon Corbières 2022,2022,3.6,68,corbieres,6.14
Deux Vallees,Clos du Bois Anjou Rouge 2022,2022,3.6,95,anjou,6.2
La Belle Angèle,Syrah 2022,2022,3.6,37,vin-de-pay-s,6.25
La Belle Angèle,Merlot 2020,2020,3.4,892,vin-de-pays-vignobles-de-france,6.25
Uby,No. 7 Tannat - Merlot 2023,2023,3.6,26,cotes-de-gascogne,6.25
La Belle Angèle,Syrah 2023,2023,3.3,1300,vin-de-pay-s,6.25
Cellier des Demoiselles,Pinot 2023,2023,3.8,43,vin-de-pays-doc,6.41
Les Jamelles,Les Petites Jamelles Rouge 2024,2024,3.5,1057,vin-de-pays-doc,6.45
Château Hauchat,Fronsac 2016,2016,3.7,209,fronsac,6.5
Maubrac Guérin,Château le Faure Bordeaux 2021,2021,3.4,1547,bordeaux,6.5
Château Galau,Côtes de Bourg 2017,2017,3.6,39,cotes-de-bourg,6.5
Château Galau,Côtes de Bourg 2018,2018,3.6,63,cotes-de-bourg,6.5
Château Galau,Côtes de Bourg 2019,2019,3.6,642,cotes-de-bourg,6.5
Domaine de la Citadelle,Court Métrage Rouge 2022,2022,3.4,238,vaucluse,6.5
Château La Guillaumette,Bordeaux 2022,2022,3.5,444,bordeaux,6.5
Deux Vallees,Clos du Bois Anjou Rouge 2020,2020,3.6,95,anjou,6.5
Domaine de Pellehaut,Harmonie de Gascogne Rouge 2023,2023,3.7,149,cotes-de-gascogne,6.5
Blason Timberlay,Bordeaux Merlot - Cabernet Sauvignon 2020,2020,3.3,39,bordeaux,6.6
Marrenon,Les Meridiennes Rouge 2021,2021,3.2,43,cotes-du-rhone,6.75
Cellier des Chartreux,Cuvée des Chartreux Belle Emilie Rouge 2024,2024,3.4,1170,gard,6.88
